Program Name,2024-25 Seat Capacity,2024-25 Female Supernumerary,2024-25 Total,2025-26 Seat Capacity,2025-26 Female Supernumerary,2025-26 Total,Difference
"Geological Technology (5 Years, Integrated Master of Technology)",38.0,0.0,38.0,38,0,38,0.0
"Geophysical Technology (5 Years, Integrated Master of Technology)",38.0,3.0,41.0,38,3,41,0.0
"Industrial Chemistry (4 Years, Bachelor of Technology)",22.0,3.0,25.0,51,3,54,29.0
"Industrial Design (4 Years, Bachelor of Technology) ODISHA",14.0,0.0,14.0,14,0,14,0.0
"Industrial Design (4 Years, Bachelor of Technology) Other than ODISHA",14.0,0.0,14.0,14,0,14,0.0
"Industrial Engineering and Operations Research (4 Years, Bachelor of Technology)",36.0,4.0,40.0,36,4,40,0.0
"Industrial Internet of Things (4 Years, Bachelor of Technology) HARYANA",30.0,0.0,30.0,30,0,30,0.0
"Industrial Internet of Things (4 Years, Bachelor of Technology) Other than HARYANA",30.0,0.0,30.0,30,0,30,0.0
"Industrial and Production Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",37.0,0.0,37.0,35,0,35,-2.0
"Industrial and Production Engineering (4 Years, Bachelor of Technology) PUNJAB",38.0,0.0,38.0,35,0,35,-3.0
"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",63.0,9.0,72.0,63,9,72,0.0
"Information Technology (4 Years, Bachelor of Technology) CHHATTISGARH",57.0,0.0,57.0,57,0,57,0.0
"Information Technology (4 Years, Bachelor of Technology) HARYANA",30.0,0.0,30.0,30,0,30,0.0
"Information Technology (4 Years, Bachelor of Technology) KARNATAKA",38.0,0.0,38.0,38,0,38,0.0
"Information Technology (4 Years, Bachelor of Technology) Other than CHHATTISGARH",57.0,0.0,57.0,57,0,57,0.0
"Information Technology (4 Years, Bachelor of Technology) Other than HARYANA",30.0,0.0,30.0,30,0,30,0.0
"Information Technology (4 Years, Bachelor of Technology) Other than JAMMU & KASHMIR (UT) LADAKH (UT)",41.0,2.0,43.0,62,2,64,21.0
"Information Technology (4 Years, Bachelor of Technology) Other than KARNATAKA",38.0,0.0,38.0,38,0,38,0.0
"Information Technology (4 Years, Bachelor of Technology) Other than PUNJAB",60.0,0.0,60.0,60,0,60,0.0
"Information Technology (4 Years, Bachelor of Technology) PUNJAB",60.0,0.0,60.0,60,0,60,0.0
"Instrumentation Engineering (4 Years, Bachelor of Technology)",41.0,3.0,44.0,44,3,47,3.0
"Instrumentation and Control Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",50.0,0.0,50.0,45,0,45,-5.0
"Instrumentation and Control Engineering (4 Years, Bachelor of Technology) Other than TAMIL NADU",59.0,0.0,59.0,59,0,59,0.0
"Instrumentation and Control Engineering (4 Years, Bachelor of Technology) PUNJAB",50.0,0.0,50.0,45,0,45,-5.0
"Instrumentation and Control Engineering (4 Years, Bachelor of Technology) TAMIL NADU",58.0,0.0,58.0,58,0,58,0.0
"Integrated Circuit Design & Technology (4 Years, Bachelor of Technology)",24.0,6.0,30.0,24,6,30,0.0
"Interdisciplinary Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",57.0,3.0,60.0,57,3,60,0.0
"Life Science (5 Years, Integrated Master of Science) ODISHA",10.0,0.0,10.0,10,0,10,0.0
"Life Science (5 Years, Integrated Master of Science) Other than ODISHA",10.0,0.0,10.0,10,0,10,0.0
"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",55.0,11.0,66.0,55,11,66,0.0
"Material Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) BIHAR",5.0,0.0,5.0,6,0,6,1.0
"Material Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than BIHAR",5.0,0.0,5.0,6,0,6,1.0
"Materials Engineering (4 Years, Bachelor of Technology)",153.0,17.0,170.0,152,18,170,0.0
"Materials Engineering (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",15.0,0.0,15.0,15,0,15,0.0
"Materials Engineering (4 Years, Bachelor of Technology) UTTAR PRADESH",15.0,0.0,15.0,15,0,15,0.0
"Materials Science and Engineering (4 Years, Bachelor of Technology)",68.0,17.0,85.0,68,17,85,0.0
"Materials Science and Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",20.0,0.0,20.0,20,0,20,0.0
"Materials Science and Engineering (4 Years, Bachelor of Technology) KERALA",15.0,0.0,15.0,15,0,15,0.0
"Materials Science and Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",20.0,0.0,20.0,20,0,20,0.0
"Materials Science and Engineering (4 Years, Bachelor of Technology) Other than KERALA",15.0,0.0,15.0,15,0,15,0.0
"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",49.0,6.0,55.0,59,6,65,10.0
"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",31.0,8.0,39.0,29,7,36,-3.0
"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",31.0,8.0,39.0,28,7,35,-4.0
"Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))",44.0,5.0,49.0,44,5,49,0.0
"Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree)) Other than TRIPURA",13.0,0.0,13.0,20,0,20,7.0
"Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree)) TRIPURA",12.0,0.0,12.0,20,0,20,8.0
"Mathematics (5 Years, Integrated Master of Science) ODISHA",12.0,0.0,12.0,12,0,12,0.0
"Mathematics (5 Years, Integrated Master of Science) Other than ODISHA",13.0,0.0,13.0,13,0,13,0.0
"Mathematics and Computing (4 Years, Bachelor of Science)",69.0,0.0,69.0,69,0,69,0.0
"Mathematics and Computing (4 Years, Bachelor of Technology)",442.0,24.0,466.0,754,24,778,312.0
"Mathematics and Computing (4 Years, Bachelor of Technology) HARYANA",29.0,0.0,29.0,29,0,29,0.0
"Mathematics and Computing (4 Years, Bachelor of Technology) HIMACHAL PRADESH",25.0,0.0,25.0,25,0,25,0.0
"Mathematics and Computing (4 Years, Bachelor of Technology) MIZORAM",5.0,0.0,5.0,5,0,5,0.0
"Mathematics and Computing (4 Years, Bachelor of Technology) Other than HARYANA",28.0,0.0,28.0,28,0,28,0.0
"Mathematics and Computing (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",25.0,0.0,25.0,25,0,25,0.0
"Mathematics and Computing (4 Years, Bachelor of Technology) Other than MIZORAM",5.0,0.0,5.0,5,0,5,0.0
"Mathematics and Computing (4 Years, Bachelor of Technology) Other than PUNJAB",20.0,0.0,20.0,25,0,25,5.0
"Mathematics and Computing (4 Years, Bachelor of Technology) Other than TELANGANA",15.0,0.0,15.0,15,0,15,0.0
"Mathematics and Computing (4 Years, Bachelor of Technology) PUNJAB",20.0,0.0,20.0,25,0,25,5.0
"Mathematics and Computing (4 Years, Bachelor of Technology) TELANGANA",15.0,0.0,15.0,15,0,15,0.0
"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",82.0,3.0,85.0,33,0,33,-52.0
"Mathematics and Computing Technology (5 Years, Bachelor and Master of Technology (Dual Degree)) BIHAR",5.0,0.0,5.0,6,0,6,1.0
"Mathematics and Computing Technology (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than BIHAR",5.0,0.0,5.0,6,0,6,1.0
"Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree)) MADHYA PRADESH",12.0,3.0,15.0,12,3,15,0.0
"Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than MADHYA PRADESH",12.0,3.0,15.0,12,3,15,0.0
"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",51.0,13.0,64.0,51,13,64,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology)",1963.0,312.0,2275.0,3006,337,3343,1068.0
"Mechanical Engineering (4 Years, Bachelor of Technology) ARUNACHAL PRADESH",16.0,0.0,16.0,21,0,21,5.0
"Mechanical Engineering (4 Years, Bachelor of Technology) ASSAM",80.0,0.0,80.0,80,0,80,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) BIHAR",60.0,0.0,60.0,58,1,59,-1.0
"Mechanical Engineering (4 Years, Bachelor of Technology) CHHATTISGARH",58.0,0.0,58.0,58,0,58,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",4.0,0.0,4.0,4,0,4,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",20.0,0.0,20.0,20,0,20,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) GOA",15.0,0.0,15.0,15,0,15,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) HARYANA",54.0,0.0,54.0,54,0,54,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",62.0,0.0,62.0,63,0,63,1.0
"Mechanical Engineering (4 Years, Bachelor of Technology) JHARKHAND",58.0,0.0,58.0,58,0,58,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) KARNATAKA",87.0,0.0,87.0,87,0,87,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) KERALA",85.0,18.0,103.0,86,16,102,-1.0
"Mechanical Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",86.0,21.0,107.0,76,16,92,-15.0
"Mechanical Engineering (4 Years, Bachelor of Technology) MANIPUR",19.0,0.0,19.0,19,0,19,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) MEGHALAYA",17.0,0.0,17.0,17,0,17,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) MIZORAM",17.0,1.0,18.0,16,1,17,-1.0
"Mechanical Engineering (4 Years, Bachelor of Technology) NAGALAND",15.0,0.0,15.0,15,0,15,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) ODISHA",57.0,0.0,57.0,57,0,57,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than ARUNACHAL PRADESH",16.0,0.0,16.0,21,0,21,5.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than ASSAM",81.0,0.0,81.0,81,0,81,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than BIHAR",60.0,0.0,60.0,58,0,58,-2.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than CHHATTISGARH",57.0,0.0,57.0,57,0,57,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",20.0,0.0,20.0,20,0,20,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than GOA DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",18.0,0.0,18.0,18,0,18,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than HARYANA",54.0,0.0,54.0,54,0,54,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",63.0,0.0,63.0,62,0,62,-1.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than JAMMU & KASHMIR (UT) LADAKH (UT)",56.0,3.0,59.0,49,3,52,-7.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than JHARKHAND",57.0,0.0,57.0,57,0,57,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",87.0,0.0,87.0,87,1,88,1.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than KERALA",85.0,18.0,103.0,86,17,103,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",86.0,21.0,107.0,76,16,92,-15.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than MANIPUR",19.0,0.0,19.0,19,0,19,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than MEGHALAYA",16.0,0.0,16.0,16,0,16,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than MIZORAM",17.0,1.0,18.0,16,1,17,-1.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than NAGALAND",18.0,1.0,19.0,18,0,18,-1.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than ODISHA",56.0,0.0,56.0,56,0,56,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than PUDUCHERRY (UT) ANDAMAN & NICOBAR ISLANDS (UT)",25.0,0.0,25.0,25,0,25,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than PUNJAB",55.0,0.0,55.0,55,0,55,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than RAJASTHAN",57.0,0.0,57.0,57,0,57,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than SIKKIM",15.0,0.0,15.0,15,0,15,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than TAMIL NADU",59.0,0.0,59.0,59,0,59,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than TELANGANA",65.0,0.0,65.0,65,0,65,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",50.0,13.0,63.0,47,13,60,-3.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",77.0,4.0,81.0,77,4,81,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than UTTARAKHAND",14.0,4.0,18.0,18,0,18,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",93.0,0.0,93.0,144,0,144,51.0
"Mechanical Engineering (4 Years, Bachelor of Technology) PUDUCHERRY (UT) ANDAMAN & NICOBAR ISLANDS (UT)",25.0,0.0,25.0,25,0,25,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) PUNJAB",55.0,0.0,55.0,55,0,55,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) RAJASTHAN",59.0,0.0,59.0,59,0,59,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) SIKKIM",15.0,0.0,15.0,15,0,15,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) TAMIL NADU",59.0,0.0,59.0,59,0,59,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) TELANGANA",65.0,0.0,65.0,65,0,65,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) TRIPURA",48.0,14.0,62.0,46,14,60,-2.0
"Mechanical Engineering (4 Years, Bachelor of Technology) UTTAR PRADESH",77.0,5.0,82.0,77,5,82,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) UTTARAKHAND",15.0,3.0,18.0,18,0,18,0.0
"Mechanical Engineering (4 Years, Bachelor of Technology) WEST BENGAL",94.0,0.0,94.0,145,0,145,51.0
"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",45.0,7.0,52.0,50,3,53,1.0
"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) HARYANA",6.0,0.0,6.0,6,0,6,0.0
"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than HARYANA",6.0,0.0,6.0,6,0,6,0.0
"Mechatronics Engineering (4 Years, Bachelor of Technology)",20.0,0.0,20.0,59,0,59,39.0
"Mechatronics and Automation Engineering (4 Years, Bachelor of Technology) BIHAR",13.0,0.0,13.0,13,0,13,0.0
"Mechatronics and Automation Engineering (4 Years, Bachelor of Technology) Other than BIHAR",13.0,0.0,13.0,13,0,13,0.0
"Metallurgical Engineering (4 Years, Bachelor of Technology)",102.0,4.0,106.0,106,4,110,4.0
"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",162.0,14.0,176.0,152,6,158,-18.0
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",314.0,34.0,348.0,380,34,414,66.0
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) CHHATTISGARH",58.0,0.0,58.0,58,0,58,0.0
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) JHARKHAND",49.0,0.0,49.0,49,0,49,0.0
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) KARNATAKA",29.0,1.0,30.0,29,0,29,-1.0
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) ODISHA",30.0,0.0,30.0,30,0,30,0.0
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) Other than CHHATTISGARH",57.0,0.0,57.0,57,0,57,0.0
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) Other than JAMMU & KASHMIR (UT) LADAKH (UT)",50.0,3.0,53.0,37,3,40,-13.0
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) Other than JHARKHAND",50.0,0.0,50.0,50,0,50,0.0
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",29.0,0.0,29.0,29,0,29,0.0
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) Other than ODISHA",30.0,1.0,31.0,30,0,30,-1.0
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) Other than RAJASTHAN",37.0,0.0,37.0,37,0,37,0.0
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) Other than TAMIL NADU",39.0,0.0,39.0,39,0,39,0.0
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",38.0,0.0,38.0,38,0,38,0.0
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) RAJASTHAN",37.0,0.0,37.0,37,0,37,0.0
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) TAMIL NADU",40.0,0.0,40.0,40,0,40,0.0
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) WEST BENGAL",37.0,0.0,37.0,37,0,37,0.0
"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) ODISHA",6.0,0.0,6.0,6,0,6,0.0
"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than ODISHA",7.0,0.0,7.0,7,0,7,0.0
"Microelectronics & VLSI Engineering (4 Years, Bachelor of Technology) HARYANA",30.0,0.0,30.0,30,0,30,0.0
"Microelectronics & VLSI Engineering (4 Years, Bachelor of Technology) Other than HARYANA",30.0,0.0,30.0,30,0,30,0.0
"Mineral and Metallurgical Engineering (4 Years, Bachelor of Technology)",37.0,8.0,45.0,37,8,45,0.0
"Mining Engineering (4 Years, Bachelor of Technology)",321.0,40.0,361.0,297,26,323,-38.0
"Mining Engineering (4 Years, Bachelor of Technology) CHHATTISGARH",48.0,0.0,48.0,48,0,48,0.0
"Mining Engineering (4 Years, Bachelor of Technology) KARNATAKA",29.0,0.0,29.0,29,1,30,1.0
"Mining Engineering (4 Years, Bachelor of Technology) ODISHA",19.0,2.0,21.0,19,0,19,-2.0
"Mining Engineering (4 Years, Bachelor of Technology) Other than CHHATTISGARH",49.0,0.0,49.0,49,0,49,0.0
"Mining Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",29.0,1.0,30.0,29,0,29,-1.0
"Mining Engineering (4 Years, Bachelor of Technology) Other than ODISHA",19.0,3.0,22.0,19,0,19,-3.0
"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) ODISHA",6.0,0.0,6.0,6,0,6,0.0
"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than ODISHA",6.0,0.0,6.0,6,0,6,0.0
"Mining Machinery Engineering (4 Years, Bachelor of Technology)",47.0,9.0,56.0,47,9,56,0.0
"Naval Architecture and Ocean Engineering (4 Years, Bachelor of Technology)",69.0,9.0,78.0,69,9,78,0.0
"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",71.0,9.0,80.0,71,9,80,0.0
"Petroleum Engineering (4 Years, Bachelor of Technology)",79.0,11.0,90.0,79,11,90,0.0
"Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",80.0,0.0,80.0,75,0,75,-5.0
"Physics (4 Years, Bachelor of Science)",85.0,9.0,94.0,97,10,107,13.0
"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",37.0,3.0,40.0,25,2,27,-13.0
"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree)) Other than TRIPURA",13.0,0.0,13.0,20,0,20,7.0
"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree)) TRIPURA",12.0,0.0,12.0,20,0,20,8.0
"Physics (5 Years, Integrated Master of Science) ODISHA",13.0,0.0,13.0,13,0,13,0.0
"Physics (5 Years, Integrated Master of Science) Other than ODISHA",12.0,0.0,12.0,12,0,12,0.0
"Physics with Specialization (4 Years, Bachelor of Science)",24.0,6.0,30.0,24,6,30,0.0
"Planning (4 Years, Bachelor of Planning) MADHYA PRADESH",21.0,5.0,26.0,21,5,26,0.0
"Planning (4 Years, Bachelor of Planning) Other than MADHYA PRADESH",21.0,5.0,26.0,21,5,26,0.0
"Production Engineering (4 Years, Bachelor of Technology) KERALA",30.0,0.0,30.0,29,0,29,-1.0
"Production Engineering (4 Years, Bachelor of Technology) Other than KERALA",29.0,0.0,29.0,30,0,30,1.0
"Production Engineering (4 Years, Bachelor of Technology) Other than TAMIL NADU",59.0,0.0,59.0,59,0,59,0.0
"Production Engineering (4 Years, Bachelor of Technology) Other than TRIPURA",45.0,12.0,57.0,33,12,45,-12.0
"Production Engineering (4 Years, Bachelor of Technology) TAMIL NADU",59.0,0.0,59.0,59,0,59,0.0
"Production Engineering (4 Years, Bachelor of Technology) TRIPURA",44.0,12.0,56.0,33,12,45,-11.0
"Production and Industrial Engineering (4 Years, Bachelor of Technology)",131.0,16.0,147.0,309,14,323,176.0
"Production and Industrial Engineering (4 Years, Bachelor of Technology) HARYANA",20.0,0.0,20.0,20,0,20,0.0
"Production and Industrial Engineering (4 Years, Bachelor of Technology) JHARKHAND",31.0,0.0,31.0,31,0,31,0.0
"Production and Industrial Engineering (4 Years, Bachelor of Technology) Other than HARYANA",20.0,0.0,20.0,20,0,20,0.0
"Production and Industrial Engineering (4 Years, Bachelor of Technology) Other than JHARKHAND",31.0,0.0,31.0,31,0,31,0.0
"Production and Industrial Engineering (4 Years, Bachelor of Technology) Other than UTTAR PRADESH",28.0,2.0,30.0,28,2,30,0.0
"Production and Industrial Engineering (4 Years, Bachelor of Technology) UTTAR PRADESH",29.0,1.0,30.0,29,1,30,0.0
"ROBOTICS & AUTOMATION (4 Years, Bachelor of Technology) HARYANA",25.0,0.0,25.0,25,0,25,0.0
"ROBOTICS & AUTOMATION (4 Years, Bachelor of Technology) Other than HARYANA",25.0,0.0,25.0,25,0,25,0.0
"SUSTAINABLE ENERGY TECHNOLOGIES (4 Years, Bachelor of Technology) HARYANA",30.0,0.0,30.0,30,0,30,0.0
"SUSTAINABLE ENERGY TECHNOLOGIES (4 Years, Bachelor of Technology) Other than HARYANA",30.0,0.0,30.0,30,0,30,0.0
"Statistics and Data Science (4 Years, Bachelor of Science)",22.0,6.0,28.0,22,6,28,0.0
"Textile Technology (4 Years, Bachelor of Technology)",91.0,5.0,96.0,85,0,85,-11.0
"Textile Technology (4 Years, Bachelor of Technology) Other than PUNJAB",38.0,1.0,39.0,35,0,35,-4.0
"Textile Technology (4 Years, Bachelor of Technology) PUNJAB",37.0,2.0,39.0,35,0,35,-4.0
"VLSI Design and Technology (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",13.0,0.0,13.0,13,0,13,0.0
"VLSI Design and Technology (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",12.0,0.0,12.0,12,0,12,0.0
