Institute Name,Program Name,2024-25 Seat Capacity,2024-25 Female Supernumerary,2024-25 Total,2025-26 Seat Capacity,2025-26 Female Supernumerary,2025-26 Total,Difference
Indian Institute of Technology Jodhpur,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",56.0,14.0,70.0,56,14,70,0.0
Indian Institute of Technology Jodhpur,"Materials Engineering (4 Years, Bachelor of Technology)",40.0,10.0,50.0,40,10,50,0.0
Indian Institute of Technology Jodhpur,"Physics with Specialization (4 Years, Bachelor of Science)",24.0,6.0,30.0,24,6,30,0.0
Indian Institute of Technology Jodhpur,"Chemistry with Specialization (4 Years, Bachelor of Science)",24.0,6.0,30.0,24,6,30,0.0
Indian Institute of Technology Kanpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",55.0,14.0,69.0,55,14,69,0.0
Indian Institute of Technology Kanpur,"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",42.0,11.0,53.0,42,11,53,0.0
Indian Institute of Technology Kanpur,"Chemical Engineering (4 Years, Bachelor of Technology)",83.0,21.0,104.0,83,21,104,0.0
Indian Institute of Technology Kanpur,"Civil Engineering (4 Years, Bachelor of Technology)",118.0,30.0,148.0,118,30,148,0.0
Indian Institute of Technology Kanpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",103.0,26.0,129.0,103,26,129,0.0
Indian Institute of Technology Kanpur,"Electrical Engineering (4 Years, Bachelor of Technology)",153.0,39.0,192.0,153,39,192,0.0
Indian Institute of Technology Kanpur,"Materials Science and Engineering (4 Years, Bachelor of Technology)",68.0,17.0,85.0,68,17,85,0.0
Indian Institute of Technology Kanpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",119.0,30.0,149.0,119,30,149,0.0
Indian Institute of Technology Kanpur,"Chemistry (4 Years, Bachelor of Science)",39.0,10.0,49.0,39,10,49,0.0
Indian Institute of Technology Kanpur,"Economics (4 Years, Bachelor of Science)",41.0,11.0,52.0,41,11,52,0.0
Indian Institute of Technology Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",51.0,13.0,64.0,51,13,64,0.0
Indian Institute of Technology Kanpur,"Physics (4 Years, Bachelor of Science)",36.0,9.0,45.0,36,9,45,0.0
Indian Institute of Technology Kanpur,"Earth Sciences (4 Years, Bachelor of Science)",34.0,9.0,43.0,34,9,43,0.0
Indian Institute of Technology Kanpur,"Statistics and Data Science (4 Years, Bachelor of Science)",22.0,6.0,28.0,22,6,28,0.0
Indian Institute of Technology Madras,"Aerospace Engineering (4 Years, Bachelor of Technology)",54.0,1.0,55.0,54,1,55,0.0
Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",114.0,3.0,117.0,108,3,111,-6.0
Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",121.0,6.0,127.0,111,6,117,-10.0
Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",81.0,6.0,87.0,81,6,87,0.0
Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",148.0,6.0,154.0,148,6,154,0.0
Indian Institute of Technology Madras,"Engineering Physics (4 Years, Bachelor of Technology)",37.0,5.0,42.0,37,5,42,0.0
Indian Institute of Technology Madras,"Biological Engineering (4 Years, Bachelor of Technology)",40.0,1.0,41.0,30,0,30,-11.0
Indian Institute of Technology Madras,"Mechanical Engineering (4 Years, Bachelor of Technology)",153.0,27.0,180.0,122,22,144,-36.0
Indian Institute of Technology Madras,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",54.0,5.0,59.0,49,5,54,-5.0
Indian Institute of Technology Madras,"Artificial Intelligence and Data Analytics (4 Years, Bachelor of Technology)",50.0,0.0,50.0,50,0,50,0.0
Indian Institute of Technology Madras,"Naval Architecture and Ocean Engineering (4 Years, Bachelor of Technology)",69.0,9.0,78.0,69,9,78,0.0
Indian Institute of Technology Madras,"Biological Science (4 Years, Bachelor of Science)",40.0,1.0,41.0,30,0,30,-11.0
Indian Institute of Technology Madras,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",10.0,0.0,10.0,10,0,10,0.0
Indian Institute of Technology Madras,"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",71.0,3.0,74.0,63,3,66,-8.0
Indian Institute of Technology Gandhinagar,"Chemical Engineering (4 Years, Bachelor of Technology)",40.0,10.0,50.0,40,10,50,0.0
Indian Institute of Technology Gandhinagar,"Civil Engineering (4 Years, Bachelor of Technology)",32.0,8.0,40.0,32,8,40,0.0
Indian Institute of Technology Gandhinagar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",40.0,10.0,50.0,48,12,60,10.0
Indian Institute of Technology Gandhinagar,"Electrical Engineering (4 Years, Bachelor of Technology)",40.0,10.0,50.0,40,10,50,0.0
Indian Institute of Technology Gandhinagar,"Mechanical Engineering (4 Years, Bachelor of Technology)",40.0,10.0,50.0,40,10,50,0.0
Indian Institute of Technology Gandhinagar,"Integrated Circuit Design & Technology (4 Years, Bachelor of Technology)",24.0,6.0,30.0,24,6,30,0.0
Indian Institute of Technology Gandhinagar,"Artificial Intelligence (4 Years, Bachelor of Technology)",24.0,6.0,30.0,32,8,40,10.0
Indian Institute of Technology Gandhinagar,"Materials Engineering (4 Years, Bachelor of Technology)",33.0,7.0,40.0,32,8,40,0.0
Indian Institute of Technology Patna,"Chemical Engineering (4 Years, Bachelor of Technology)",65.0,5.0,70.0,65,5,70,0.0
Indian Institute of Technology Patna,"Chemical Science and Technology (4 Years, Bachelor of Technology)",40.0,7.0,47.0,40,0,40,-7.0
Indian Institute of Technology Patna,"Civil Engineering (4 Years, Bachelor of Technology)",64.0,6.0,70.0,64,6,70,0.0
Indian Institute of Technology Patna,"Computer Science and Engineering (4 Years, Bachelor of Technology)",83.0,3.0,86.0,83,3,86,0.0
Indian Institute of Technology Patna,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",48.0,2.0,50.0,48,2,50,0.0
Indian Institute of Technology Patna,"Engineering Physics (4 Years, Bachelor of Technology)",37.0,3.0,40.0,37,3,40,0.0
Indian Institute of Technology Patna,"Mathematics and Computing (4 Years, Bachelor of Technology)",47.0,3.0,50.0,47,3,50,0.0
Indian Institute of Technology Patna,"Mechanical Engineering (4 Years, Bachelor of Technology)",82.0,4.0,86.0,82,4,86,0.0
Indian Institute of Technology Patna,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",43.0,3.0,46.0,43,3,46,0.0
Indian Institute of Technology Patna,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",48.0,2.0,50.0,48,2,50,0.0
Indian Institute of Technology Patna,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",46.0,4.0,50.0,46,4,50,0.0
Indian Institute of Technology Patna,"Economics (4 Years, Bachelor of Science)",24.0,0.0,24.0,24,0,24,0.0
Indian Institute of Technology Patna,"B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems (5 Years, Bachelor and Master of Technology (Dual Degree))",10.0,0.0,10.0,10,0,10,0.0
Indian Institute of Technology Patna,"B.Tech (Chemical Science and Technology) - MBA in Hospital and Health Care Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",5.0,0.0,5.0,5,0,5,0.0
Indian Institute of Technology Patna,"B.Tech (Civil Engineering) - MBA (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",6.0,0.0,6.0,6,0,6,0.0
Indian Institute of Technology Patna,"B.Tech (Computer Science and Engineering) - MBA in Digital Business Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",5.0,0.0,5.0,5,0,5,0.0
Indian Institute of Technology Patna,"B.Tech (Electronics and Communication Engineering) - MBA in Hospital and Healthcare Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",5.0,0.0,5.0,5,0,5,0.0
Indian Institute of Technology Patna,"B.Tech (Engineering Physics) - MBA (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",6.0,0.0,6.0,6,0,6,0.0
Indian Institute of Technology Patna,"B.Tech (Mathematics and Computing) - MBA in Digital Business Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",5.0,0.0,5.0,5,0,5,0.0
Indian Institute of Technology Patna,"B.Tech (Metallurgical and Materials Engineering) - MBA (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",6.0,0.0,6.0,6,0,6,0.0
Indian Institute of Technology Patna,"B.Tech (Electrical and Electronics Engineering) - MBA (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",6.0,0.0,6.0,6,0,6,0.0
Indian Institute of Technology Patna,"B.Tech (Artificial Intelligence and Data Science) - MBA in Digital Business Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",5.0,0.0,5.0,5,0,5,0.0
Indian Institute of Technology Patna,"B.Tech (Chemical Engineering) - MBA in Hospital and Health Care Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",5.0,0.0,5.0,5,0,5,0.0
Indian Institute of Technology Patna,"B.Tech (Mechanical Engineering) - MBA (IIM Mumbai) (5 Years, Bachelor of Technology and MBA (Dual Degree))",15.0,0.0,15.0,15,0,15,0.0
Indian Institute of Technology Patna,"B. Tech in CE. - M. Tech. in Geotechnical Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",10.0,0.0,10.0,10,0,10,0.0
Indian Institute of Technology Patna,"B. Tech in CE. - M. Tech. in Structural Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",10.0,0.0,10.0,10,0,10,0.0
Indian Institute of Technology Patna,"B. Tech. (CSE) and M.Tech in CSE (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",10.0,0.0,10.0,10,0,10,0.0
Indian Institute of Technology Patna,"B. Tech. (Mathematics & Computing) M. Tech. in (Mathematics & Computing) (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",10.0,0.0,10.0,10,0,10,0.0
Indian Institute of Technology Patna,"B. Tech. (ME) - M. Tech. in Mechatronics (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",10.0,0.0,10.0,10,0,10,0.0
Indian Institute of Technology Patna,"BS in Economics with MBA (IIM Bodh Gaya) (5 Years, Bachelor of Science and MBA (Dual Degree))",6.0,0.0,6.0,6,0,6,0.0
Indian Institute of Technology Roorkee,"Chemical Engineering (4 Years, Bachelor of Technology)",109.0,8.0,117.0,109,8,117,0.0
Indian Institute of Technology Roorkee,"Civil Engineering (4 Years, Bachelor of Technology)",133.0,21.0,154.0,154,0,154,0.0
Indian Institute of Technology Roorkee,"Computer Science and Engineering (4 Years, Bachelor of Technology)",94.0,15.0,109.0,94,15,109,0.0
Indian Institute of Technology Roorkee,"Electrical Engineering (4 Years, Bachelor of Technology)",150.0,15.0,165.0,150,15,165,0.0
Indian Institute of Technology Roorkee,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",100.0,9.0,109.0,100,9,109,0.0
Indian Institute of Technology Roorkee,"Engineering Physics (4 Years, Bachelor of Technology)",47.0,3.0,50.0,47,3,50,0.0
Indian Institute of Technology Roorkee,"Mechanical Engineering (4 Years, Bachelor of Technology)",125.0,25.0,150.0,125,25,150,0.0
Indian Institute of Technology Roorkee,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",70.0,12.0,82.0,70,12,82,0.0
Indian Institute of Technology Roorkee,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",50.0,8.0,58.0,50,8,58,0.0
Indian Institute of Technology Roorkee,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",40.0,0.0,40.0,40,0,40,0.0
Indian Institute of Technology Roorkee,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",44.0,2.0,46.0,44,2,46,0.0
Indian Institute of Technology Roorkee,"Energy Engineering (4 Years, Bachelor of Technology)",20.0,0.0,20.0,20,0,20,0.0
Indian Institute of Technology Roorkee,"Architecture (5 Years, Bachelor of Architecture)",30.0,0.0,30.0,30,0,30,0.0
Indian Institute of Technology Roorkee,"Geological Technology (5 Years, Integrated Master of Technology)",38.0,0.0,38.0,38,0,38,0.0
Indian Institute of Technology Roorkee,"Geophysical Technology (5 Years, Integrated Master of Technology)",38.0,3.0,41.0,38,3,41,0.0
Indian Institute of Technology Roorkee,"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",25.0,2.0,27.0,25,2,27,0.0
