Institute Name,Program Name,2024-25 Seat Capacity,2024-25 Female Supernumerary,2024-25 Total,2025-26 Seat Capacity,2025-26 Female Supernumerary,2025-26 Total,Difference
National Institute of Technology Agartala,"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree)) Other than TRIPURA",13.0,0.0,13.0,20,0,20,7.0
National Institute of Technology Agartala,"Chemistry (5 Years, Bachelor of Science and Master of Science (Dual Degree)) TRIPURA",12.0,0.0,12.0,20,0,20,8.0
National Institute of Technology Agartala,"Chemistry (5 Years, Bachelor of Science and Master of Science (Dual Degree)) Other than TRIPURA",13.0,0.0,13.0,20,0,20,7.0
National Institute of Technology Agartala,"Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree)) TRIPURA",12.0,0.0,12.0,20,0,20,8.0
National Institute of Technology Agartala,"Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree)) Other than TRIPURA",13.0,0.0,13.0,20,0,20,7.0
National Institute of Technology Calicut,"Bio Technology (4 Years, Bachelor of Technology) KERALA",18.0,0.0,18.0,19,0,19,1.0
National Institute of Technology Calicut,"Bio Technology (4 Years, Bachelor of Technology) Other than KERALA",19.0,0.0,19.0,18,0,18,-1.0
National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology) KERALA",58.0,0.0,58.0,58,0,58,0.0
National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology) Other than KERALA",58.0,0.0,58.0,58,0,58,0.0
National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology) KERALA",86.0,0.0,86.0,86,0,86,0.0
National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology) Other than KERALA",86.0,0.0,86.0,86,0,86,0.0
National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology) KERALA",86.0,4.0,90.0,86,3,89,-1.0
National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than KERALA",86.0,3.0,89.0,86,3,89,0.0
National Institute of Technology Calicut,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) KERALA",86.0,1.0,87.0,86,0,86,-1.0
National Institute of Technology Calicut,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than KERALA",86.0,0.0,86.0,86,1,87,1.0
National Institute of Technology Calicut,"Engineering Physics (4 Years, Bachelor of Technology) KERALA",18.0,0.0,18.0,19,0,19,1.0
National Institute of Technology Calicut,"Engineering Physics (4 Years, Bachelor of Technology) Other than KERALA",19.0,0.0,19.0,18,0,18,-1.0
National Institute of Technology Calicut,"Materials Science and Engineering (4 Years, Bachelor of Technology) KERALA",15.0,0.0,15.0,15,0,15,0.0
National Institute of Technology Calicut,"Materials Science and Engineering (4 Years, Bachelor of Technology) Other than KERALA",15.0,0.0,15.0,15,0,15,0.0
National Institute of Technology Calicut,"Mechanical Engineering (4 Years, Bachelor of Technology) KERALA",85.0,18.0,103.0,86,16,102,-1.0
National Institute of Technology Calicut,"Mechanical Engineering (4 Years, Bachelor of Technology) Other than KERALA",85.0,18.0,103.0,86,17,103,0.0
National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) KERALA",86.0,0.0,86.0,86,0,86,0.0
National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) Other than KERALA",86.0,0.0,86.0,86,0,86,0.0
National Institute of Technology Calicut,"Production Engineering (4 Years, Bachelor of Technology) KERALA",30.0,0.0,30.0,29,0,29,-1.0
National Institute of Technology Calicut,"Production Engineering (4 Years, Bachelor of Technology) Other than KERALA",29.0,0.0,29.0,30,0,30,1.0
National Institute of Technology Calicut,"Architecture (5 Years, Bachelor of Architecture) KERALA",29.0,0.0,29.0,30,0,30,1.0
National Institute of Technology Calicut,"Architecture (5 Years, Bachelor of Architecture) Other than KERALA",30.0,0.0,30.0,29,0,29,-1.0
National Institute of Technology Delhi,"Aerospace Engineering (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",12.0,0.0,12.0,12,0,12,0.0
National Institute of Technology Delhi,"Aerospace Engineering (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",12.0,0.0,12.0,12,0,12,0.0
National Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",13.0,0.0,13.0,13,0,13,0.0
National Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",12.0,0.0,12.0,12,0,12,0.0
National Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",60.0,0.0,60.0,60,0,60,0.0
National Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",60.0,0.0,60.0,60,0,60,0.0
National Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",30.0,0.0,30.0,30,0,30,0.0
National Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",30.0,0.0,30.0,30,0,30,0.0
National Institute of Technology Delhi,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",30.0,0.0,30.0,30,0,30,0.0
National Institute of Technology Delhi,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",30.0,0.0,30.0,30,0,30,0.0
National Institute of Technology Delhi,"VLSI Design and Technology (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",13.0,0.0,13.0,13,0,13,0.0
National Institute of Technology Delhi,"VLSI Design and Technology (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",12.0,0.0,12.0,12,0,12,0.0
National Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",20.0,0.0,20.0,20,0,20,0.0
National Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",20.0,0.0,20.0,20,0,20,0.0
National Institute of Technology Delhi,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology) DELHI (NCT) CHANDIGARH (UT)",10.0,0.0,10.0,10,0,10,0.0
National Institute of Technology Delhi,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology) Other than DELHI (NCT) CHANDIGARH (UT)",10.0,0.0,10.0,10,0,10,0.0
National Institute of Technology Durgapur,"Bio Technology (4 Years, Bachelor of Technology) WEST BENGAL",38.0,0.0,38.0,38,0,38,0.0
National Institute of Technology Durgapur,"Bio Technology (4 Years, Bachelor of Technology) Other than WEST BENGAL",37.0,0.0,37.0,37,0,37,0.0
National Institute of Technology Durgapur,"Chemical Engineering (4 Years, Bachelor of Technology) WEST BENGAL",37.0,0.0,37.0,37,0,37,0.0
National Institute of Technology Durgapur,"Chemical Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",38.0,0.0,38.0,38,0,38,0.0
National Institute of Technology Durgapur,"Civil Engineering (4 Years, Bachelor of Technology) WEST BENGAL",40.0,0.0,40.0,40,0,40,0.0
National Institute of Technology Durgapur,"Civil Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",40.0,0.0,40.0,40,0,40,0.0
National Institute of Technology Durgapur,"Computer Science and Engineering (4 Years, Bachelor of Technology) WEST BENGAL",94.0,0.0,94.0,94,0,94,0.0
National Institute of Technology Durgapur,"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",93.0,0.0,93.0,93,0,93,0.0
National Institute of Technology Durgapur,"Electrical Engineering (4 Years, Bachelor of Technology) WEST BENGAL",50.0,0.0,50.0,50,0,50,0.0
National Institute of Technology Durgapur,"Electrical Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",50.0,0.0,50.0,50,0,50,0.0
National Institute of Technology Durgapur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) WEST BENGAL",49.0,0.0,49.0,49,0,49,0.0
National Institute of Technology Durgapur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",48.0,0.0,48.0,48,0,48,0.0
National Institute of Technology Durgapur,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology) WEST BENGAL",30.0,0.0,30.0,30,0,30,0.0
National Institute of Technology Durgapur,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology) Other than WEST BENGAL",30.0,0.0,30.0,30,0,30,0.0
National Institute of Technology Durgapur,"Mechanical Engineering (4 Years, Bachelor of Technology) WEST BENGAL",94.0,0.0,94.0,94,0,94,0.0
National Institute of Technology Durgapur,"Mechanical Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",93.0,0.0,93.0,93,0,93,0.0
National Institute of Technology Durgapur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) WEST BENGAL",37.0,0.0,37.0,37,0,37,0.0
National Institute of Technology Durgapur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) Other than WEST BENGAL",38.0,0.0,38.0,38,0,38,0.0
National Institute of Technology Durgapur,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) WEST BENGAL",4.0,0.0,4.0,4,0,4,0.0
National Institute of Technology Durgapur,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than WEST BENGAL",3.0,0.0,3.0,3,0,3,0.0
National Institute of Technology Durgapur,"Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree)) WEST BENGAL",4.0,0.0,4.0,4,0,4,0.0
National Institute of Technology Durgapur,"Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than WEST BENGAL",3.0,0.0,3.0,3,0,3,0.0
National Institute of Technology Durgapur,"Chemistry (5 Years, Integrated Master of Science) WEST BENGAL",9.0,0.0,9.0,9,0,9,0.0
National Institute of Technology Durgapur,"Chemistry (5 Years, Integrated Master of Science) Other than WEST BENGAL",10.0,0.0,10.0,10,0,10,0.0
National Institute of Technology Goa,"Civil Engineering (4 Years, Bachelor of Technology) GOA",14.0,0.0,14.0,14,0,14,0.0
National Institute of Technology Goa,"Civil Engineering (4 Years, Bachelor of Technology) DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",4.0,0.0,4.0,4,0,4,0.0
National Institute of Technology Goa,"Civil Engineering (4 Years, Bachelor of Technology) Other than GOA DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",19.0,0.0,19.0,19,0,19,0.0
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology) GOA",20.0,0.0,20.0,20,0,20,0.0
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology) DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",5.0,0.0,5.0,5,0,5,0.0
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than GOA DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",25.0,0.0,25.0,25,0,25,0.0
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) GOA",20.0,0.0,20.0,20,0,20,0.0
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",5.0,0.0,5.0,5,0,5,0.0
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than GOA DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",25.0,0.0,25.0,25,0,25,0.0
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology) GOA",15.0,0.0,15.0,15,0,15,0.0
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology) DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",4.0,0.0,4.0,4,0,4,0.0
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology) Other than GOA DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",18.0,0.0,18.0,18,0,18,0.0
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) GOA",20.0,0.0,20.0,20,0,20,0.0
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",5.0,0.0,5.0,5,0,5,0.0
National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) Other than GOA DAMAN & DIU (UT) DADRA & NAGAR HAVELI (UT) LAKSHADWEEP (UT)",25.0,0.0,25.0,25,0,25,0.0
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",38.0,0.0,38.0,38,0,38,0.0
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",38.0,0.0,38.0,38,0,38,0.0
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",62.0,0.0,62.0,61,0,61,-1.0
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",61.0,0.0,61.0,62,0,62,1.0
National Institute of Technology Hamirpur,"Computer Science and Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",62.0,0.0,62.0,62,0,62,0.0
National Institute of Technology Hamirpur,"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",62.0,0.0,62.0,62,0,62,0.0
National Institute of Technology Hamirpur,"Electrical Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",62.0,0.0,62.0,63,0,63,1.0
National Institute of Technology Hamirpur,"Electrical Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",63.0,0.0,63.0,62,0,62,-1.0
National Institute of Technology Hamirpur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",59.0,0.0,59.0,58,0,58,-1.0
National Institute of Technology Hamirpur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",58.0,0.0,58.0,59,0,59,1.0
National Institute of Technology Hamirpur,"Engineering Physics (4 Years, Bachelor of Technology) HIMACHAL PRADESH",25.0,0.0,25.0,25,0,25,0.0
National Institute of Technology Hamirpur,"Engineering Physics (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",25.0,0.0,25.0,25,0,25,0.0
National Institute of Technology Hamirpur,"Materials Science and Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",20.0,0.0,20.0,20,0,20,0.0
National Institute of Technology Hamirpur,"Materials Science and Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",20.0,0.0,20.0,20,0,20,0.0
National Institute of Technology Hamirpur,"Mathematics and Computing (4 Years, Bachelor of Technology) HIMACHAL PRADESH",25.0,0.0,25.0,25,0,25,0.0
National Institute of Technology Hamirpur,"Mathematics and Computing (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",25.0,0.0,25.0,25,0,25,0.0
National Institute of Technology Hamirpur,"Mechanical Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",62.0,0.0,62.0,63,0,63,1.0
National Institute of Technology Hamirpur,"Mechanical Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",63.0,0.0,63.0,62,0,62,-1.0
National Institute of Technology Hamirpur,"Architecture (5 Years, Bachelor of Architecture) HIMACHAL PRADESH",29.0,0.0,29.0,29,0,29,0.0
National Institute of Technology Hamirpur,"Architecture (5 Years, Bachelor of Architecture) Other than HIMACHAL PRADESH",29.0,0.0,29.0,29,0,29,0.0
National Institute of Technology Hamirpur,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) HIMACHAL PRADESH",14.0,0.0,14.0,14,0,14,0.0
National Institute of Technology Hamirpur,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than HIMACHAL PRADESH",14.0,0.0,14.0,14,0,14,0.0
National Institute of Technology Hamirpur,"Electronics and Communication Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) HIMACHAL PRADESH",14.0,0.0,14.0,14,0,14,0.0
National Institute of Technology Hamirpur,"Electronics and Communication Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than HIMACHAL PRADESH",14.0,0.0,14.0,14,0,14,0.0
"National Institute of Technology Karnataka, Surathkal","Chemical Engineering (4 Years, Bachelor of Technology) KARNATAKA",29.0,0.0,29.0,29,2,31,2.0
"National Institute of Technology Karnataka, Surathkal","Chemical Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",29.0,0.0,29.0,29,1,30,1.0
"National Institute of Technology Karnataka, Surathkal","Civil Engineering (4 Years, Bachelor of Technology) KARNATAKA",58.0,0.0,58.0,58,0,58,0.0
"National Institute of Technology Karnataka, Surathkal","Civil Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",57.0,0.0,57.0,57,0,57,0.0
"National Institute of Technology Karnataka, Surathkal","Computational and Data Science (4 Years, Bachelor of Technology) KARNATAKA",15.0,0.0,15.0,15,0,15,0.0
"National Institute of Technology Karnataka, Surathkal","Computational and Data Science (4 Years, Bachelor of Technology) Other than KARNATAKA",15.0,0.0,15.0,15,0,15,0.0
"National Institute of Technology Karnataka, Surathkal","Computer Science and Engineering (4 Years, Bachelor of Technology) KARNATAKA",57.0,0.0,57.0,57,0,57,0.0
"National Institute of Technology Karnataka, Surathkal","Computer Science and Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",58.0,0.0,58.0,58,0,58,0.0
"National Institute of Technology Karnataka, Surathkal","Electronics and Communication Engineering (4 Years, Bachelor of Technology) KARNATAKA",58.0,0.0,58.0,58,0,58,0.0
"National Institute of Technology Karnataka, Surathkal","Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",58.0,0.0,58.0,58,0,58,0.0
"National Institute of Technology Karnataka, Surathkal","Mechanical Engineering (4 Years, Bachelor of Technology) KARNATAKA",87.0,0.0,87.0,87,0,87,0.0
"National Institute of Technology Karnataka, Surathkal","Mechanical Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",87.0,0.0,87.0,87,1,88,1.0
"National Institute of Technology Karnataka, Surathkal","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) KARNATAKA",29.0,1.0,30.0,29,0,29,-1.0
"National Institute of Technology Karnataka, Surathkal","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",29.0,0.0,29.0,29,0,29,0.0
"National Institute of Technology Karnataka, Surathkal","Mining Engineering (4 Years, Bachelor of Technology) KARNATAKA",29.0,0.0,29.0,29,1,30,1.0
"National Institute of Technology Karnataka, Surathkal","Mining Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",29.0,1.0,30.0,29,0,29,-1.0
"National Institute of Technology Karnataka, Surathkal","Electrical and Electronics Engineering (4 Years, Bachelor of Technology) KARNATAKA",58.0,0.0,58.0,58,0,58,0.0
"National Institute of Technology Karnataka, Surathkal","Electrical and Electronics Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",58.0,0.0,58.0,58,0,58,0.0
"National Institute of Technology Karnataka, Surathkal","Information Technology (4 Years, Bachelor of Technology) KARNATAKA",38.0,0.0,38.0,38,0,38,0.0
"National Institute of Technology Karnataka, Surathkal","Information Technology (4 Years, Bachelor of Technology) Other than KARNATAKA",38.0,0.0,38.0,38,0,38,0.0
"National Institute of Technology Karnataka, Surathkal","Artificial Intelligence (4 Years, Bachelor of Technology) KARNATAKA",20.0,0.0,20.0,20,0,20,0.0
"National Institute of Technology Karnataka, Surathkal","Artificial Intelligence (4 Years, Bachelor of Technology) Other than KARNATAKA",20.0,0.0,20.0,20,0,20,0.0
National Institute of Technology Meghalaya,"Civil Engineering (4 Years, Bachelor of Technology) MEGHALAYA",17.0,0.0,17.0,17,0,17,0.0
National Institute of Technology Meghalaya,"Civil Engineering (4 Years, Bachelor of Technology) Other than MEGHALAYA",16.0,0.0,16.0,16,0,16,0.0
National Institute of Technology Meghalaya,"Computer Science and Engineering (4 Years, Bachelor of Technology) MEGHALAYA",16.0,0.0,16.0,16,0,16,0.0
National Institute of Technology Meghalaya,"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than MEGHALAYA",17.0,0.0,17.0,17,0,17,0.0
National Institute of Technology Meghalaya,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) MEGHALAYA",16.0,0.0,16.0,16,0,16,0.0
National Institute of Technology Meghalaya,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than MEGHALAYA",17.0,0.0,17.0,17,0,17,0.0
National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology) MEGHALAYA",17.0,0.0,17.0,17,0,17,0.0
National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology) Other than MEGHALAYA",16.0,0.0,16.0,16,0,16,0.0
National Institute of Technology Meghalaya,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) MEGHALAYA",16.0,0.0,16.0,16,0,16,0.0
National Institute of Technology Meghalaya,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) Other than MEGHALAYA",17.0,0.0,17.0,17,0,17,0.0
National Institute of Technology Nagaland,"Civil Engineering (4 Years, Bachelor of Technology) NAGALAND",15.0,0.0,15.0,15,0,15,0.0
National Institute of Technology Nagaland,"Civil Engineering (4 Years, Bachelor of Technology) Other than NAGALAND",18.0,0.0,18.0,18,0,18,0.0
National Institute of Technology Nagaland,"Computer Science and Engineering (4 Years, Bachelor of Technology) NAGALAND",15.0,0.0,15.0,15,0,15,0.0
National Institute of Technology Nagaland,"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than NAGALAND",18.0,0.0,18.0,18,1,19,1.0
National Institute of Technology Nagaland,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) NAGALAND",15.0,0.0,15.0,15,0,15,0.0
National Institute of Technology Nagaland,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than NAGALAND",18.0,1.0,19.0,18,1,19,0.0
National Institute of Technology Nagaland,"Mechanical Engineering (4 Years, Bachelor of Technology) NAGALAND",15.0,0.0,15.0,15,0,15,0.0
National Institute of Technology Nagaland,"Mechanical Engineering (4 Years, Bachelor of Technology) Other than NAGALAND",18.0,1.0,19.0,18,0,18,-1.0
National Institute of Technology Nagaland,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology) NAGALAND",15.0,0.0,15.0,15,0,15,0.0
National Institute of Technology Nagaland,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology) Other than NAGALAND",18.0,0.0,18.0,18,1,19,1.0
National Institute of Technology Nagaland,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) NAGALAND",15.0,0.0,15.0,15,0,15,0.0
National Institute of Technology Nagaland,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) Other than NAGALAND",18.0,0.0,18.0,18,0,18,0.0
National Institute of Technology Patna,"Civil Engineering (4 Years, Bachelor of Technology) BIHAR",60.0,0.0,60.0,58,0,58,-2.0
National Institute of Technology Patna,"Civil Engineering (4 Years, Bachelor of Technology) Other than BIHAR",60.0,0.0,60.0,58,0,58,-2.0
National Institute of Technology Patna,"Computer Science and Engineering (4 Years, Bachelor of Technology) BIHAR",100.0,0.0,100.0,75,0,75,-25.0
National Institute of Technology Patna,"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than BIHAR",99.0,0.0,99.0,75,0,75,-24.0
National Institute of Technology Patna,"Electrical Engineering (4 Years, Bachelor of Technology) BIHAR",60.0,0.0,60.0,58,0,58,-2.0
National Institute of Technology Patna,"Electrical Engineering (4 Years, Bachelor of Technology) Other than BIHAR",60.0,0.0,60.0,58,0,58,-2.0
National Institute of Technology Patna,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) BIHAR",79.0,0.0,79.0,50,0,50,-29.0
National Institute of Technology Patna,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than BIHAR",79.0,0.0,79.0,50,0,50,-29.0
National Institute of Technology Patna,"Mechatronics and Automation Engineering (4 Years, Bachelor of Technology) BIHAR",13.0,0.0,13.0,13,0,13,0.0
National Institute of Technology Patna,"Mechatronics and Automation Engineering (4 Years, Bachelor of Technology) Other than BIHAR",13.0,0.0,13.0,13,0,13,0.0
National Institute of Technology Patna,"Mechanical Engineering (4 Years, Bachelor of Technology) BIHAR",60.0,0.0,60.0,58,1,59,-1.0
National Institute of Technology Patna,"Mechanical Engineering (4 Years, Bachelor of Technology) Other than BIHAR",60.0,0.0,60.0,58,0,58,-2.0
National Institute of Technology Patna,"Architecture (5 Years, Bachelor of Architecture) BIHAR",23.0,0.0,23.0,20,0,20,-3.0
National Institute of Technology Patna,"Architecture (5 Years, Bachelor of Architecture) Other than BIHAR",22.0,0.0,22.0,20,0,20,-2.0
National Institute of Technology Patna,"Computer Science and Engineering with Specialization in Data Science (5 Years, Bachelor and Master of Technology (Dual Degree)) BIHAR",12.0,0.0,12.0,12,0,12,0.0
National Institute of Technology Patna,"Computer Science and Engineering with Specialization in Data Science (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than BIHAR",11.0,0.0,11.0,11,0,11,0.0
National Institute of Technology Patna,"Computer Science and Engineering with Specialization in Cyber Security (5 Years, Bachelor and Master of Technology (Dual Degree)) BIHAR",11.0,0.0,11.0,11,0,11,0.0
National Institute of Technology Patna,"Computer Science and Engineering with Specialization in Cyber Security (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than BIHAR",11.0,0.0,11.0,11,0,11,0.0
National Institute of Technology Patna,"Electronics and Communication Engineering with Specialization in Microelectronics and VLSI System Design (5 Years, Bachelor and Master of Technology (Dual Degree)) BIHAR",11.0,0.0,11.0,11,0,11,0.0
National Institute of Technology Patna,"Electronics and Communication Engineering with Specialization in Microelectronics and VLSI System Design (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than BIHAR",11.0,0.0,11.0,11,0,11,0.0
National Institute of Technology Patna,"Civil Engineering with Specialization in Construction Technology and Management (5 Years, Bachelor and Master of Technology (Dual Degree)) BIHAR",5.0,0.0,5.0,6,0,6,1.0
National Institute of Technology Patna,"Civil Engineering with Specialization in Construction Technology and Management (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than BIHAR",5.0,0.0,5.0,6,0,6,1.0
National Institute of Technology Patna,"Material Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) BIHAR",5.0,0.0,5.0,6,0,6,1.0
National Institute of Technology Patna,"Material Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than BIHAR",5.0,0.0,5.0,6,0,6,1.0
National Institute of Technology Patna,"Mathematics and Computing Technology (5 Years, Bachelor and Master of Technology (Dual Degree)) BIHAR",5.0,0.0,5.0,6,0,6,1.0
National Institute of Technology Patna,"Mathematics and Computing Technology (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than BIHAR",5.0,0.0,5.0,6,0,6,1.0
National Institute of Technology Patna,"Chemical Technology (5 Years, Bachelor and Master of Technology (Dual Degree)) BIHAR",5.0,0.0,5.0,6,0,6,1.0
National Institute of Technology Patna,"Chemical Technology (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than BIHAR",5.0,0.0,5.0,6,0,6,1.0
